date,open,low,high,close,adj_close,volume,shares_outstanding
2003-05-23,81.98,81.36,82.17,81.51,47.42,5425811,1804663800.0
2003-05-27,80.79,80.79,84.03,83.83,48.77,7492916,1804663800.0
2003-05-28,83.75,83.56,84.8,83.72,48.71,6840735,1804663800.0
2003-05-29,83.72,83.37,84.69,83.52,48.59,7216249,1804663800.0
2003-05-30,83.6,83.6,84.78,84.17,48.97,6468673,1804663800.0
2003-06-02,85.09,83.41,85.16,83.49,48.57,8051271,1804663800.0
2003-06-03,80.61,79.58,81.49,80.13,46.62,22077504,1804663800.0
2003-06-04,80.31,80.14,81.22,80.54,46.86,11228182,1804663800.0
2003-06-05,80.31,78.15,80.54,78.3,45.55,15958090,1804663800.0
2003-06-06,78.63,76.33,79.57,76.53,44.52,15858301,1804663800.0
2003-06-09,76.48,76.3,78.39,78.39,45.61,10205090,1804663800.0
2003-06-10,78.73,77.64,79.27,78.12,45.45,9305216,1804663800.0
2003-06-11,79.11,78.67,80.45,80.28,46.7,10267327,1804663800.0
2003-06-12,81.07,79.88,81.24,80.26,46.69,7397730,1804663800.0
2003-06-13,80.45,78.88,80.58,79.11,46.03,5990965,1804663800.0
2003-06-16,79.45,78.92,80.83,80.78,47.0,6790737,1804663800.0
2003-06-17,81.21,80.11,81.21,80.59,46.89,6143890,1804663800.0
2003-06-18,80.45,79.56,81.25,80.98,47.11,6214704,1804663800.0
2003-06-19,81.21,80.78,81.54,80.83,47.03,7611847,1804663800.0
2003-06-20,81.26,80.97,81.49,81.19,47.23,12447400,1804663800.0
2003-06-23,81.06,79.32,81.06,79.52,46.27,6601934,1804663800.0
2003-06-24,79.3,79.21,80.48,79.95,46.52,5295689,1804663800.0
2003-06-25,79.88,78.48,80.46,78.86,45.88,5803208,1804663800.0
2003-06-26,80.02,79.18,80.67,80.64,46.92,6667622,1804663800.0
2003-06-27,80.45,79.56,80.93,79.75,46.4,4741413,1804663800.0
2003-06-30,80.21,78.87,80.5,78.87,45.89,8316641,1804663800.0
2003-07-01,77.82,77.82,79.98,79.91,46.49,6051947,1804663800.0
2003-07-02,80.26,80.07,81.16,81.01,47.13,6286146,1804663800.0
2003-07-03,80.54,79.81,80.97,80.26,46.69,3147937,1804663800.0
2003-07-07,81.07,81.01,82.65,82.3,47.88,7965185,1804663800.0
2003-07-08,82.3,81.44,82.94,82.46,47.97,6144099,1804663800.0
2003-07-09,82.31,81.12,82.55,81.71,47.54,7018346,1804663800.0
2003-07-10,81.26,79.8,81.47,80.33,46.74,7854623,1804663800.0
2003-07-11,80.4,80.02,81.53,81.16,47.22,4743296,1804663800.0
2003-07-14,82.22,81.66,82.77,81.66,47.51,6752139,1804663800.0
2003-07-15,82.36,82.05,83.17,82.64,48.08,8274278,1804663800.0
2003-07-16,83.17,82.07,83.2,82.93,48.25,9244130,1804663800.0
2003-07-17,79.06,78.87,80.25,79.67,46.35,14137422,1804663800.0
2003-07-18,80.16,79.55,80.33,80.04,46.57,8961291,1804663800.0
2003-07-21,79.54,78.59,79.76,78.87,45.89,7359761,1804663800.0
2003-07-22,78.87,77.94,79.6,78.25,45.53,9146538,1804663800.0
2003-07-23,78.39,78.14,79.13,78.68,45.78,5571833,1804663800.0
2003-07-24,79.3,77.93,79.34,77.93,45.34,6128619,1804663800.0
2003-07-25,78.01,77.98,80.06,79.88,46.47,6490116,1804663800.0
2003-07-28,79.99,78.43,80.02,78.91,45.91,6718981,1804663800.0
2003-07-29,78.92,78.01,79.24,78.2,45.5,7617704,1804663800.0
2003-07-30,78.82,77.04,78.82,77.4,45.03,6960712,1804663800.0
2003-07-31,78.2,77.53,78.91,77.68,45.19,8420614,1804663800.0
2003-08-01,77.58,76.53,77.7,77.7,45.2,6773268,1804663800.0
2003-08-04,77.2,76.54,77.78,77.56,45.13,6158848,1804663800.0
2003-08-05,77.56,76.29,77.75,76.34,44.41,7340933,1804663800.0
2003-08-06,76.19,75.27,77.13,76.24,44.45,7815921,1804663800.0
2003-08-07,76.19,75.89,77.27,77.14,44.97,5542231,1804663800.0
2003-08-08,77.49,76.82,77.7,77.32,45.08,4826035,1804663800.0
2003-08-11,77.31,76.75,77.92,77.46,45.15,4457215,1804663800.0
2003-08-12,77.87,77.1,77.95,77.93,45.43,4847373,1804663800.0
