date,open,low,high,close,adj_close,volume
2000-02-18,138.88,134.62,138.88,135.31,88.27,9409200
2000-02-22,135.19,133.53,136.34,134.97,88.04,16415400
2000-02-23,135.62,134.5,137.47,136.56,89.08,12119000
2000-02-24,136.69,133.09,137.03,133.81,87.29,17375000
2000-02-25,135.19,133.12,136.72,133.33,86.97,10559900
2000-02-28,133.38,132.72,136.69,136.12,88.8,13397800
2000-02-29,136.06,135.75,137.44,137.44,89.66,8242500
2000-03-01,137.62,137.22,139.0,138.44,90.31,6868000
2000-03-02,138.69,137.34,139.12,138.53,90.37,7600200
2000-03-03,140.44,139.72,141.72,141.12,92.06,12770300
2000-03-06,140.81,138.75,141.34,139.75,91.16,11967100
2000-03-07,140.0,135.22,140.16,137.05,89.4,20062000
2000-03-08,136.47,135.03,137.84,136.88,89.29,11808500
2000-03-09,137.25,136.12,140.88,140.88,91.9,5500900
2000-03-10,140.19,139.53,142.0,140.12,91.41,7924600
2000-03-13,136.69,135.69,140.47,138.59,90.41,10540500
2000-03-14,139.28,136.16,140.09,136.62,89.13,8263900
2000-03-15,136.88,136.06,140.44,139.81,91.2,10300800
2000-03-16,141.62,140.88,146.84,146.34,95.47,25601400
2000-03-17,145.81,145.44,148.0,146.94,96.09,10272900
2000-03-20,146.88,144.78,147.34,146.19,95.6,12502300
2000-03-21,145.53,144.5,149.75,149.19,97.57,13612600
2000-03-22,149.56,148.69,150.84,150.09,98.16,8260000
2000-03-23,149.16,149.16,153.47,152.66,99.83,11654500
2000-03-24,152.88,151.72,155.75,153.56,100.43,11462900
2000-03-27,153.38,151.81,153.78,151.94,99.36,8798600
2000-03-28,151.25,150.59,152.98,151.06,98.79,6334400
2000-03-29,151.56,149.66,152.48,151.22,98.89,6747500
2000-03-30,150.16,147.12,151.92,148.69,97.24,9491900
2000-03-31,149.62,148.44,152.31,150.38,98.34,9249100
2000-04-03,150.12,148.69,151.25,151.25,98.91,8508200
2000-04-04,151.75,141.39,153.0,150.12,98.18,19585500
2000-04-05,147.88,147.62,150.81,149.19,97.57,8387200
2000-04-06,150.25,149.0,151.69,150.48,98.41,6378500
2000-04-07,151.56,150.5,152.12,151.44,99.04,6023600
2000-04-10,151.75,150.31,153.11,150.84,98.65,9624200
2000-04-11,150.0,148.38,151.62,150.41,98.36,9006400
2000-04-12,150.38,146.16,151.16,146.28,95.67,10779200
2000-04-13,147.47,143.78,148.16,144.25,94.34,12225800
2000-04-14,142.62,133.5,142.81,136.0,88.94,29604000
2000-04-17,135.19,134.69,140.75,140.75,92.05,23918200
2000-04-18,140.56,139.78,144.47,144.47,94.48,11069200
2000-04-19,144.5,142.53,145.12,143.12,93.6,6553700
2000-04-20,143.56,142.38,143.94,143.81,94.05,8537600
2000-04-24,141.5,140.5,143.31,142.25,93.03,12893100
2000-04-25,144.62,144.44,148.16,148.16,96.89,14102000
2000-04-26,147.97,146.0,148.75,146.48,95.8,7711100
2000-04-27,143.0,143.0,147.34,146.0,95.48,15595300
2000-04-28,147.0,145.06,147.86,145.09,94.89,8743400
2000-05-01,146.56,145.84,148.48,147.06,96.18,7328300
2000-05-02,145.5,144.12,147.12,144.12,94.25,9411900
2000-05-03,144.0,139.78,144.0,140.75,92.05,12630700
2000-05-04,142.0,140.75,142.36,141.81,92.74,5963600
2000-05-05,141.06,140.94,144.0,143.53,93.87,7862400
2000-05-08,142.75,141.84,143.38,142.45,93.16,5064100
2000-05-09,143.06,140.27,143.41,141.31,92.42,5620300
2000-05-10,140.5,137.75,140.97,138.12,90.33,10293900
2000-05-11,140.12,139.12,141.5,141.28,92.4,7091100
2000-05-12,141.81,141.62,143.47,142.81,93.4,5960800
2000-05-15,142.75,142.0,145.61,145.28,95.01,4441300
2000-05-16,146.56,145.31,147.72,146.69,95.93,8192200
2000-05-17,145.69,144.47,146.19,145.16,94.93,5907200
2000-05-18,145.62,143.38,146.31,143.38,93.76,4325600
2000-05-19,142.56,140.41,143.23,141.12,92.29,6518400
2000-05-22,141.25,137.0,141.47,140.06,91.6,10839400
2000-05-23,140.44,137.56,140.81,138.0,90.25,7979200
2000-05-24,138.0,136.5,140.69,140.25,91.72,11081500
2000-05-25,140.69,137.72,141.81,137.84,90.15,8278900
2000-05-26,138.81,137.33,139.69,138.0,90.25,4814000
2000-05-30,140.0,139.47,142.94,142.5,93.19,5362700
2000-05-31,142.56,142.09,144.0,142.81,93.4,6056500
2000-06-01,143.69,143.0,145.44,145.31,95.03,8961600
2000-06-02,148.94,147.48,149.09,147.84,96.69,8962200
2000-06-05,147.47,146.88,148.22,147.12,96.22,6998100
2000-06-06,146.62,145.91,147.78,146.47,95.79,4858900
2000-06-07,146.62,146.0,148.0,147.48,96.45,4919500
2000-06-08,147.5,146.06,147.75,146.91,96.07,5723100
2000-06-09,147.5,145.62,147.97,146.59,95.87,3085300
2000-06-12,146.97,144.88,146.97,144.88,94.75,3678900
2000-06-13,144.81,144.62,147.75,147.59,96.52,6558700
2000-06-14,148.25,147.19,148.88,147.84,96.69,6420500
2000-06-15,148.12,146.84,148.75,148.16,96.89,5881200
2000-06-16,148.31,145.88,148.31,146.59,96.1,5567900
2000-06-19,146.47,146.25,149.16,148.47,97.33,5106900
2000-06-20,148.19,147.0,148.88,147.94,96.98,6480000
2000-06-21,146.94,146.89,148.44,147.88,96.94,3115000
2000-06-22,147.56,145.0,147.69,145.62,95.46,7490500
2000-06-23,145.81,143.88,146.12,144.38,94.64,4863300
2000-06-26,145.38,144.88,146.25,146.23,95.86,5201300
2000-06-27,145.98,145.02,146.72,145.16,95.15,4159500
2000-06-28,145.62,145.31,146.98,145.56,95.42,5347700
2000-06-29,144.75,143.52,145.75,144.19,94.52,6345700
2000-06-30,143.94,143.89,145.59,145.28,95.24,7420200
2000-07-03,145.44,145.19,147.44,147.28,96.55,1436600
2000-07-05,146.38,144.38,146.66,144.62,94.81,2748200
2000-07-06,144.94,144.22,146.47,145.75,95.54,5963200
2000-07-07,146.69,146.25,148.78,148.09,97.08,3034800
2000-07-10,147.88,147.53,148.91,147.84,96.92,2816100
2000-07-11,147.47,147.16,149.12,148.16,97.12,5431600
2000-07-12,149.28,148.69,150.12,149.12,97.76,5883000
2000-07-13,149.98,149.19,150.38,149.78,98.19,5356000
2000-07-14,150.44,149.67,151.25,151.25,99.15,5341900
2000-07-17,150.98,150.69,151.98,151.0,98.99,4208300
2000-07-18,150.62,149.34,150.62,149.77,98.18,4262100
2000-07-19,149.47,148.25,149.91,148.56,97.39,8506800
2000-07-20,149.0,148.81,150.62,150.62,98.74,4538900
2000-07-21,149.75,147.69,149.75,147.69,96.81,5656900
2000-07-24,148.12,146.56,148.86,146.84,96.26,5628500
2000-07-25,147.75,146.78,147.84,147.31,96.57,4757100
2000-07-26,146.97,145.64,147.16,145.88,95.63,12062500
2000-07-27,145.94,144.69,146.62,145.38,95.3,7652600
2000-07-28,145.72,141.52,145.91,142.09,93.15,6229500
2000-07-31,142.94,142.06,144.12,143.0,93.74,5265500
2000-08-01,143.62,143.12,144.72,143.88,94.32,3946600
2000-08-02,143.88,143.62,145.41,144.59,94.79,7439800
2000-08-03,142.88,142.62,145.81,145.59,95.44,4607100
2000-08-04,146.31,145.41,146.72,146.38,95.95,3686600
2000-08-07,146.72,146.38,148.44,148.12,97.1,4159800
2000-08-08,147.5,147.5,148.81,148.69,97.47,3658700
2000-08-09,149.14,147.38,149.22,147.44,96.65,5383800
2000-08-10,147.53,146.28,147.86,146.72,96.18,4193400
2000-08-11,146.62,145.56,148.0,147.41,96.63,5089400
2000-08-14,147.78,147.06,149.56,149.28,97.86,2966700
2000-08-15,149.34,148.56,149.81,149.16,97.78,5564600
2000-08-16,149.31,147.84,149.94,148.62,97.43,5191600
2000-08-17,148.69,148.34,150.44,150.19,98.45,5652200
2000-08-18,150.38,149.22,150.38,149.69,98.13,4626400
2000-08-21,150.03,149.41,150.72,150.5,98.66,2380600
2000-08-22,150.56,150.09,151.31,150.25,98.49,3075300
2000-08-23,149.81,149.28,151.28,150.84,98.88,5483200
2000-08-24,151.16,150.5,151.5,151.31,99.19,4529000
